InstrumentId,ExchangeId,Datetime,OpenPrice,HighestPrice,LowestPrice,UpperLimitPrice,LowerLimitPrice,Volume,OpenInterest,BidPrice5,BidVolume5,BidPrice4,BidVolume4,BidPrice3,BidVolume3,BidPrice2,BidVolume2,BidPrice1,BidVolume1,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5,LastPrice
ag2408,,13:38:35.0#,7618.000000,7708.000000,7574.000000,8596.000000,7033.000000,670983,194624.000000,7621.000000,131,7622.000000,55,7623.000000,48,7624.000000,80,7625.000000,29,7626.000000,41,7627.000000,53,7628.000000,60,7629.000000,61,7630.000000,240,7625.000000
ag2408,,13:38:35.500#,7618.000000,7708.000000,7574.000000,8596.000000,7033.000000,671025,194623.000000,7622.000000,55,7623.000000,48,7624.000000,80,7625.000000,33,7626.000000,41,7627.000000,53,7628.000000,60,7629.000000,61,7630.000000,240,7631.000000,62,7626.000000
ag2408,,13:38:36.0#,7618.000000,7708.000000,7574.000000,8596.000000,7033.000000,671031,194622.000000,7622.000000,83,7623.000000,57,7624.000000,71,7625.000000,36,7626.000000,35,7627.000000,34,7628.000000,61,7629.000000,52,7630.000000,153,7631.000000,130,7626.000000
ag2408,,13:38:36.500#,7618.000000,7708.000000,7574.000000,8596.000000,7033.000000,671038,194617.000000,7622.000000,83,7623.000000,66,7624.000000,72,7625.000000,47,7626.000000,49,7627.000000,35,7628.000000,60,7629.000000,52,7630.000000,129,7631.000000,130,7626.000000
ag2408,,13:38:37.0#,7618.000000,7708.000000,7574.000000,8596.000000,7033.000000,671040,194617.000000,7622.000000,126,7623.000000,76,7624.000000,72,7625.000000,51,7626.000000,49,7627.000000,28,7628.000000,60,7629.000000,51,7630.000000,110,7631.000000,129,7626.000000
ag2408,,13:38:37.500#,7618.000000,7708.000000,7574.000000,8596.000000,7033.000000,671055,194615.000000,7622.000000,142,7623.000000,76,7624.000000,71,7625.000000,51,7626.000000,65,7627.000000,13,7628.000000,60,7629.000000,51,7630.000000,110,7631.000000,144,7627.000000
ag2408,,13:38:38.0#,7618.000000,7708.000000,7574.000000,8596.000000,7033.000000,671071,194625.000000,7623.000000,76,7624.000000,71,7625.000000,53,7626.000000,65,7627.000000,82,7628.000000,57,7629.000000,51,7630.000000,110,7631.000000,144,7632.000000,72,7628.000000
ag2408,,13:38:38.500#,7618.000000,7708.000000,7574.000000,8596.000000,7033.000000,671077,194626.000000,7623.000000,147,7624.000000,95,7625.000000,53,7626.000000,65,7627.000000,83,7628.000000,17,7629.000000,51,7630.000000,98,7631.000000,58,7632.000000,110,7628.000000
ag2408,,13:38:39.0#,7618.000000,7708.000000,7574.000000,8596.000000,7033.000000,671099,194614.000000,7624.000000,108,7625.000000,55,7626.000000,65,7627.000000,77,7628.000000,24,7629.000000,45,7630.000000,98,7631.000000,57,7632.000000,97,7633.000000,88,7627.000000
ag2408,,13:38:39.500#,7618.000000,7708.000000,7574.000000,8596.000000,7033.000000,671141,194600.000000,7625.000000,77,7626.000000,65,7627.000000,65,7628.000000,16,7629.000000,48,7630.000000,97,7631.000000,48,7632.000000,45,7633.000000,105,7634.000000,91,7629.000000
