InstrumentId,ExchangeId,Datetime,OpenPrice,HighestPrice,LowestPrice,UpperLimitPrice,LowerLimitPrice,Volume,OpenInterest,BidPrice5,BidVolume5,BidPrice4,BidVolume4,BidPrice3,BidVolume3,BidPrice2,BidVolume2,BidPrice1,BidVolume1,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5,LastPrice
au2410,,13:38:35.0#,562.2,567.22,559.7,630.7,516.04,213659,171706.0,566.1,14,566.12,27,566.14,8,566.16,23,566.18,7,566.2,7,566.22,13,566.24,11,566.26,11,566.28,30,566.2
au2410,,13:38:35.500#,562.2,567.22,559.7,630.7,516.04,213663,171705.0,566.1,11,566.12,27,566.14,8,566.16,23,566.18,6,566.2,4,566.22,13,566.24,11,566.26,11,566.28,30,566.2
au2410,,13:38:36.0#,562.2,567.22,559.7,630.7,516.04,213665,171707.0,566.12,24,566.14,8,566.16,23,566.18,6,566.2,1,566.22,14,566.24,11,566.26,11,566.28,30,566.3,16,566.2
au2410,,13:38:36.500#,562.2,567.22,559.7,630.7,516.04,213665,171707.0,566.12,17,566.14,18,566.16,23,566.18,6,566.2,1,566.22,15,566.24,8,566.26,7,566.28,36,566.3,14,566.2
au2410,,13:38:37.0#,562.2,567.22,559.7,630.7,516.04,213666,171707.0,566.1,11,566.12,22,566.14,11,566.16,21,566.18,12,566.22,15,566.24,8,566.26,10,566.28,33,566.3,14,566.2
au2410,,13:38:37.500#,562.2,567.22,559.7,630.7,516.04,213666,171707.0,566.1,15,566.12,27,566.14,5,566.16,17,566.18,12,566.22,15,566.24,8,566.26,11,566.28,32,566.3,14,566.2
au2410,,13:38:38.0#,562.2,567.22,559.7,630.7,516.04,213666,171707.0,566.1,12,566.12,27,566.14,5,566.16,23,566.18,6,566.22,15,566.24,8,566.26,11,566.28,32,566.3,14,566.2
au2410,,13:38:38.500#,562.2,567.22,559.7,630.7,516.04,213668,171707.0,566.1,12,566.12,27,566.14,5,566.16,23,566.18,7,566.22,13,566.24,8,566.26,11,566.28,29,566.3,11,566.22
au2410,,13:38:39.0#,562.2,567.22,559.7,630.7,516.04,213678,171697.0,566.12,27,566.14,8,566.16,23,566.18,8,566.2,8,566.22,1,566.24,8,566.26,8,566.28,35,566.3,11,566.22
au2410,,13:38:39.500#,562.2,567.22,559.7,630.7,516.04,213685,171697.0,566.14,22,566.16,7,566.18,14,566.2,21,566.22,6,566.24,8,566.26,4,566.28,28,566.3,19,566.32,13,566.22
