InstrumentId,ExchangeId,Datetime,OpenPrice,HighestPrice,LowestPrice,UpperLimitPrice,LowerLimitPrice,Volume,OpenInterest,BidPrice5,BidVolume5,BidPrice4,BidVolume4,BidPrice3,BidVolume3,BidPrice2,BidVolume2,BidPrice1,BidVolume1,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5,LastPrice
i2409,DCE,13:38:33.792#,803.5,809.5,793.5,889.0,713.0,216019,310975.0,800.0,390,800.5,209,801.0,496,801.5,196,802.0,319,802.5,125,803.0,143,803.5,120,804.0,161,804.5,192,802.0
i2409,DCE,13:38:34.41#,803.5,809.5,793.5,889.0,713.0,216019,310975.0,800.0,390,800.5,209,801.0,496,801.5,196,802.0,319,802.5,125,803.0,143,803.5,121,804.0,161,804.5,192,802.0
i2409,DCE,13:38:34.298#,803.5,809.5,793.5,889.0,713.0,216021,310975.0,800.0,390,800.5,209,801.0,496,801.5,196,802.0,317,802.5,125,803.0,143,803.5,121,804.0,161,804.5,192,802.0
i2409,DCE,13:38:34.542#,803.5,809.5,793.5,889.0,713.0,216022,310975.0,800.0,390,800.5,209,801.0,496,801.5,196,802.0,316,802.5,126,803.0,143,803.5,121,804.0,161,804.5,192,802.0
i2409,DCE,13:38:34.791#,803.5,809.5,793.5,889.0,713.0,216024,310976.0,800.0,390,800.5,209,801.0,496,801.5,196,802.0,315,802.5,125,803.0,143,803.5,121,804.0,161,804.5,192,802.5
i2409,DCE,13:38:35.66#,803.5,809.5,793.5,889.0,713.0,216024,310976.0,800.0,390,800.5,209,801.0,496,801.5,196,802.0,289,802.5,127,803.0,143,803.5,121,804.0,161,804.5,192,802.5
i2409,DCE,13:38:35.321#,803.5,809.5,793.5,889.0,713.0,216024,310976.0,800.0,390,800.5,209,801.0,496,801.5,196,802.0,289,802.5,127,803.0,145,803.5,121,804.0,161,804.5,192,802.5
i2409,DCE,13:38:35.543#,803.5,809.5,793.5,889.0,713.0,216024,310976.0,800.0,390,800.5,209,801.0,496,801.5,196,802.0,289,802.5,126,803.0,145,803.5,121,804.0,161,804.5,192,802.5
i2409,DCE,13:38:35.791#,803.5,809.5,793.5,889.0,713.0,216024,310976.0,800.0,390,800.5,209,801.0,496,801.5,196,802.0,289,802.5,127,803.0,143,803.5,121,804.0,161,804.5,192,802.5
i2409,DCE,13:38:36.46#,803.5,809.5,793.5,889.0,713.0,216026,310978.0,800.0,390,800.5,209,801.0,496,801.5,196,802.0,287,802.5,132,803.0,143,803.5,121,804.0,161,804.5,192,802.0
i2409,DCE,13:38:36.309#,803.5,809.5,793.5,889.0,713.0,216027,310979.0,800.0,390,800.5,209,801.0,480,801.5,196,802.0,286,802.5,141,803.0,145,803.5,121,804.0,161,804.5,192,802.0
i2409,DCE,13:38:36.543#,803.5,809.5,793.5,889.0,713.0,216028,310978.0,800.0,390,800.5,209,801.0,497,801.5,196,802.0,286,802.5,140,803.0,145,803.5,120,804.0,161,804.5,192,802.5
i2409,DCE,13:38:36.817#,803.5,809.5,793.5,889.0,713.0,216034,310982.0,800.0,390,800.5,209,801.0,497,801.5,196,802.0,280,802.5,161,803.0,145,803.5,120,804.0,161,804.5,192,802.0
i2409,DCE,13:38:37.41#,803.5,809.5,793.5,889.0,713.0,216034,310982.0,800.0,390,800.5,208,801.0,497,801.5,196,802.0,280,802.5,186,803.0,145,803.5,120,804.0,161,804.5,192,802.0
i2409,DCE,13:38:37.306#,803.5,809.5,793.5,889.0,713.0,216034,310982.0,800.0,390,800.5,208,801.0,496,801.5,196,802.0,280,802.5,187,803.0,145,803.5,120,804.0,161,804.5,192,802.0
i2409,DCE,13:38:37.554#,803.5,809.5,793.5,889.0,713.0,216038,310985.0,800.0,390,800.5,208,801.0,496,801.5,196,802.0,276,802.5,197,803.0,145,803.5,120,804.0,161,804.5,192,802.0
i2409,DCE,13:38:37.791#,803.5,809.5,793.5,889.0,713.0,216091,310941.0,800.0,390,800.5,208,801.0,496,801.5,196,802.0,228,802.5,194,803.0,145,803.5,120,804.0,161,804.5,192,802.0
i2409,DCE,13:38:38.43#,803.5,809.5,793.5,889.0,713.0,216164,310898.0,800.0,390,800.5,210,801.0,462,801.5,200,802.0,159,802.5,208,803.0,133,803.5,120,804.0,161,804.5,192,802.5
i2409,DCE,13:38:38.320#,803.5,809.5,793.5,889.0,713.0,216323,310961.0,799.5,125,800.0,390,800.5,210,801.0,446,801.5,195,802.0,109,802.5,216,803.0,142,803.5,126,804.0,150,802.0
