Symbol,ShortName,SecurityID,TradingTime,TradingDate,LastPrice,OpenPrice,HighPrice,LowPrice,TradeVolume,TotalVolume,PreTotalPosition,TotalPosition,TotalAmount,TradeAmount,PriceUpLimit,PriceDownLimit,PreSettlePrice,PreClosePrice,ClosePrice,SettlePrice,AveragePrice,BuyOrSell,SellPrice01,BuyPrice01,SellVolume01,BuyVolume01,SellPrice05,SellPrice04,SellPrice03,SellPrice02,BuyPrice02,BuyPrice03,BuyPrice04,BuyPrice05,SellVolume05,SellVolume04,SellVolume03,SellVolume02,BuyVolume02,BuyVolume03,BuyVolume04,BuyVolume05,PreDelta,Delta,VolumeMultiple,UnderlyingMultiple,IsTrading,Currency,TickSize,CodecPrice,CenterChangeNo,SnapNo,PacketNo,ChangeNo,SettleGroupID,SettleID,ContinueSign,Market,UNIX
EC2506,SCFIS,205000008436.0,2024-07-08 08:59:00.500,20240708,3260.0,3260.0,3260.0,3260.0,58.0,58.0,7144.0,7160.0,9454000.0,9454000.0,4188.4,3032.9,3610.7,3463.7,0.0,0.0,3260.0,S,3288.0,3260.0,2.0,4.0,3313.0,3311.0,3300.0,3298.0,3256.0,3255.0,3252.0,3251.6,25.0,1.0,10.0,1.0,18.0,3.0,1.0,1.0,0.0,0.0,50,1.0,1,CNY,0.1,3610.7,0,39569,54406,2,00000001,1,ECL5,INE,1720400340500.0
EC2506,SCFIS,205000008436.0,2024-07-08 09:00:00.500,20240708,3260.7,3260.0,3300.0,3260.0,11.0,69.0,7144.0,7165.0,11259970.0,1805970.0,4188.4,3032.9,3610.7,3463.7,0.0,0.0,3263.76,S,3299.9,3264.6,1.0,1.0,3338.7,3313.0,3311.0,3300.0,3260.5,3260.4,3260.1,3260.0,1.0,25.0,1.0,8.0,1.0,3.0,1.0,8.0,0.0,0.0,50,1.0,1,CNY,0.1,3610.7,0,39570,54414,3,00000001,1,ECL5,INE,1720400400500.0
EC2506,SCFIS,205000008436.0,2024-07-08 09:00:01.000,20240708,3259.6,3260.0,3300.0,3259.6,23.0,92.0,7144.0,7159.0,15009235.0,3749265.0,4188.4,3032.9,3610.7,3463.7,0.0,0.0,3262.88,S,3260.0,3259.6,2.0,12.0,3313.0,3311.0,3300.0,3264.6,3257.1,3256.1,3256.0,3255.0,25.0,1.0,8.0,19.0,2.0,2.0,18.0,3.0,0.0,0.0,50,1.0,1,CNY,0.1,3610.7,0,39571,54421,4,00000001,1,ECL5,INE,1720400401000.0
EC2506,SCFIS,205000008436.0,2024-07-08 09:00:01.500,20240708,3259.3,3260.0,3300.0,3257.1,17.0,109.0,7144.0,7159.0,17779670.0,2770435.0,4188.4,3032.9,3610.7,3463.7,0.0,0.0,3262.32,S,3259.5,3256.1,1.0,2.0,3264.6,3260.0,3259.9,3259.6,3256.0,3255.0,3251.6,3250.0,19.0,2.0,1.0,1.0,18.0,3.0,1.0,28.0,0.0,0.0,50,1.0,1,CNY,0.1,3610.7,0,39572,54427,5,00000001,1,ECL5,INE,1720400401500.0
EC2506,SCFIS,205000008436.0,2024-07-08 09:00:02.000,20240708,3260.0,3260.0,3300.0,3256.0,5.0,114.0,7144.0,7156.0,18593880.0,814210.0,4188.4,3032.9,3610.7,3463.7,0.0,0.0,3262.08,B,3260.0,3256.0,1.0,16.0,3311.0,3300.0,3288.0,3264.6,3255.0,3251.6,3250.0,3237.0,1.0,8.0,2.0,19.0,3.0,1.0,28.0,1.0,0.0,0.0,50,1.0,1,CNY,0.1,3610.7,0,39573,54432,6,00000001,1,ECL5,INE,1720400402000.0
EC2506,SCFIS,205000008436.0,2024-07-08 09:00:02.500,20240708,3257.0,3260.0,3300.0,3256.0,4.0,118.0,7144.0,7155.0,19245530.0,651650.0,4188.4,3032.9,3610.7,3463.7,0.0,0.0,3261.95,S,3259.2,3256.0,1.0,15.0,3300.0,3264.6,3260.0,3259.5,3255.0,3251.6,3250.0,3237.0,8.0,19.0,1.0,1.0,3.0,1.0,28.0,1.0,0.0,0.0,50,1.0,1,CNY,0.1,3610.7,0,39574,54438,7,00000001,1,ECL5,INE,1720400402500.0
EC2506,SCFIS,205000008436.0,2024-07-08 09:00:03.000,20240708,3259.3,3260.0,3300.0,3256.0,25.0,143.0,7144.0,7151.0,23316395.0,4070865.0,4188.4,3032.9,3610.7,3463.7,0.0,0.0,3261.03,B,3260.0,3256.4,2.0,1.0,3311.0,3300.0,3264.6,3260.7,3255.0,3251.6,3250.0,3237.0,1.0,8.0,19.0,1.0,3.0,1.0,28.0,1.0,0.0,0.0,50,1.0,1,CNY,0.1,3610.7,0,39575,54444,8,00000001,1,ECL5,INE,1720400403000.0
EC2506,SCFIS,205000008436.0,2024-07-08 09:00:03.500,20240708,3256.1,3260.0,3300.0,3256.0,12.0,155.0,7144.0,7149.0,25271825.0,1955430.0,4188.4,3032.9,3610.7,3463.7,0.0,0.0,3260.88,S,3256.4,3255.0,28.0,3.0,3300.0,3264.6,3260.7,3260.0,3251.6,3250.0,3237.0,3233.0,8.0,19.0,1.0,1.0,1.0,28.0,1.0,1.0,0.0,0.0,50,1.0,1,CNY,0.1,3610.7,0,39576,54448,9,00000001,1,ECL5,INE,1720400403500.0
EC2506,SCFIS,205000008436.0,2024-07-08 09:00:04.000,20240708,3256.4,3260.0,3300.0,3255.0,5.0,160.0,7144.0,7148.0,26085855.0,814030.0,4188.4,3032.9,3610.7,3463.7,0.0,0.0,3260.73,B,3256.4,3255.0,25.0,3.0,3300.0,3264.6,3260.7,3260.0,3251.6,3250.0,3237.0,3233.0,8.0,19.0,1.0,1.0,1.0,28.0,1.0,1.0,0.0,0.0,50,1.0,1,CNY,0.1,3610.7,0,39577,54453,10,00000001,1,ECL5,INE,1720400404000.0
EC2506,SCFIS,205000008436.0,2024-07-08 09:00:04.500,20240708,3256.4,3260.0,3300.0,3255.0,14.0,174.0,7144.0,7140.0,28365155.0,2279300.0,4188.4,3032.9,3610.7,3463.7,0.0,0.0,3260.36,B,3256.4,3256.0,16.0,1.0,3264.6,3260.7,3260.0,3259.0,3255.6,3255.0,3251.6,3250.0,19.0,1.0,4.0,1.0,2.0,1.0,1.0,28.0,0.0,0.0,50,1.0,1,CNY,0.1,3610.7,0,39578,54457,11,00000001,1,ECL5,INE,1720400404500.0
